P,Player,Week,Team,Opp,Opp Rank,FDSal,,DK Salary,FD Points,DK Points,DK Multiplier
WR,Ja'Marr Chase,13,CIN,LAC,2,7500,7000,7,7.7,10.2,1.5
WR,Robby Anderson,15,CAR,BUF,1,5800,4800,4.8,7.7,9.2,1.9
WR,Tee Higgins,17,CIN,KC,12,7000,6900,6.9,7.7,9.2,1.3
WR,Stefon Diggs,17,BUF,ATL,28,8000,7900,7.9,7.7,10.2,1.3
WR,Michael Pittman Jr.,17,IND,LV,3,6500,5800,5.8,7.7,10.7,1.8
WR,Collin Johnson,3,NYG,ATL,25,4500,3000,3,7.6,10.1,3.4
WR,Jakobi Meyers,5,NE,HOU,7,5900,5600,5.6,7.6,9.6,1.7
WR,Parris Campbell,5,IND,BAL,8,4900,3200,3.2,7.6,9.6,3.0
WR,DeAndre Hopkins,8,ARI,GB,12,7700,7400,7.4,7.6,8.6,1.2
WR,Jakobi Meyers,8,NE,LAC,2,5700,5100,5.1,7.6,9.6,1.9
WR,Adam Thielen,9,MIN,BAL,10,7400,6900,6.9,7.6,8.6,1.2
WR,Henry Ruggs III,4,LV,LAC,2,5900,5400,5.4,7.5,9,1.7
WR,Christian Kirk,5,ARI,SF,17,6100,4900,4.9,7.5,10,2.0
WR,Keenan Allen,6,LAC,BAL,9,7100,6400,6.4,7.5,10,1.6
WR,Isaiah Ford,7,MIA,ATL,23,4600,3000,3,7.5,8,2.7
WR,Nelson Agholor,8,NE,LAC,2,5400,4000,4,7.5,9,2.3
WR,Nico Collins,8,HOU,LAR,7,5100,3200,3.2,7.5,9.5,3.0
WR,A.J. Green,8,ARI,GB,12,5600,4900,4.9,7.5,10,2.0
WR,Jarvis Landry,8,CLE,PIT,27,6000,5000,5,7.5,11,2.2
WR,Kadarius Toney,11,NYG,TB,18,5500,5000,5,7.5,11,2.2
WR,Quez Watkins,13,PHI,NYJ,22,5300,3600,3.6,7.5,9,2.5
WR,Freddie Swain,17,SEA,DET,10,4700,3300,3.3,7.5,8.5,2.6
WR,Courtland Sutton,17,DEN,LAC,4,5300,4500,4.5,7.5,9,2.0
WR,Stefon Diggs,19,BUF,NE,4,8000,7500,7.5,7.5,9,1.2
WR,Jerry Jeudy,16,DEN,LV,5,5800,5000,5,7.5,9,1.8
WR,Jarvis Landry,16,CLE,GB,14,6600,5100,5.1,7.5,9.5,1.9
WR,Laquon Treadwell,16,JAX,NYJ,10,5300,3500,3.5,7.4,9.4,2.7
WR,Nelson Agholor,4,NE,TB,32,5400,4500,4.5,7.4,8.9,2.0
WR,Robby Anderson,4,CAR,DAL,24,5700,5100,5.1,7.4,9.9,1.9
WR,Julio Jones,6,TEN,BUF,1,6500,6200,6.2,7.4,8.9,1.4
WR,Mohamed Sanu Sr.,8,SF,CHI,29,5000,3100,3.1,7.4,8.9,2.9
WR,Russell Gage,11,ATL,NE,7,5600,4600,4.6,7.4,9.9,2.2
WR,Brandon Zylstra,4,CAR,DAL,24,4900,3200,3.2,7.3,8.3,2.6
WR,DeSean Jackson,5,LAR,SEA,22,5300,3800,3.8,7.3,7.8,2.1
WR,Tajaé Sharpe,5,ATL,NYJ,3,4900,3000,3,7.3,9.3,3.1
WR,Allen Robinson II,6,CHI,GB,11,5900,5300,5.3,7.3,9.3,1.8
WR,Dante Pettis,6,NYG,LAR,17,4500,3000,3,7.3,9.8,3.3
WR,Cole Beasley,9,BUF,JAX,24,6300,5400,5.4,7.3,11.3,2.1
WR,A.J. Brown,11,TEN,HOU,21,7200,7700,7.7,7.3,9.8,1.3
WR,Michael Pittman Jr.,12,IND,TB,12,6600,5600,5.6,7.3,9.3,1.7
WR,Laquon Treadwell,12,JAX,ATL,21,5000,3000,3,7.3,9.3,3.1
WR,Elijah Moore,12,NYJ,HOU,22,6400,5600,5.6,7.3,9.3,1.7
WR,Diontae Johnson,15,PIT,TEN,31,7200,7500,7.5,7.3,9.8,1.3
WR,Tyreek Hill,3,KC,LAC,1,8700,8400,8.4,7.2,10.7,1.3
WR,Brandin Cooks,4,HOU,BUF,1,6900,6400,6.4,7.2,9.7,1.5
WR,Auden Tate,6,CIN,DET,10,4700,3000,3,7.2,7.7,2.6
WR,Deonte Harris,8,NO,TB,16,5400,3600,3.6,7.2,8.7,2.4
WR,Davante Adams,9,GB,KC,16,9000,8200,8.2,7.2,10.2,1.2
WR,Marvin Jones Jr.,11,JAX,SF,10,5700,5200,5.2,7.2,9.2,1.8
WR,Jerry Jeudy,14,DEN,DET,20,6300,5600,5.6,7.2,9.7,1.7
WR,Ihmir Smith-Marsette,15,MIN,CHI,29,4500,3000,3,7.2,7.7,2.6
WR,Jalen Reagor,15,PHI,WAS,30,5000,3400,3.4,7.2,8.7,2.6
WR,Tyreek Hill,17,KC,CIN,16,8200,8300,8.3,7.2,10.2,1.2
WR,Damiere Byrd,18,CHI,MIN,32,4800,3400,3.4,7.2,9.7,2.9
WR,Jason Moore Jr.,16,LAC,HOU,20,4500,3000,3,7.1,8.6,2.9
WR,Chester Rogers,3,TEN,IND,30,4600,3000,3,7.1,7.6,2.5
WR,Keenan Allen,4,LAC,LV,12,7100,6800,6.8,7.1,10.6,1.6
WR,Amon-Ra St. Brown,6,DET,CIN,16,5200,4200,4.2,7.1,9.6,2.3
WR,Amari Cooper,10,DAL,ATL,20,7300,6200,6.2,7.1,9.1,1.5
WR,Terry McLaurin,12,WAS,SEA,9,7400,7200,7.2,7.1,9.1,1.3
WR,Cole Beasley,12,BUF,NO,26,5700,4500,4.5,7.1,9.6,2.1
WR,Stefon Diggs,13,BUF,NE,5,8300,8000,8,7.1,9.1,1.1
WR,Chris Godwin,4,TB,NE,5,7500,6300,6.3,7,8.5,1.3
WR,Byron Pringle,6,KC,WAS,28,5200,3200,3.2,7,8.5,2.7
WR,Marquez Valdes-Scantling,12,GB,LAR,10,5600,4100,4.1,7,9,2.2
WR,Ty Montgomery,12,NO,BUF,1,4700,3000,3,7,9.5,3.2
WR,Mack Hollins,13,MIA,NYG,15,4800,3100,3.1,7,7.5,2.4
WR,Brandon Aiyuk,13,SF,SEA,7,7000,5600,5.6,7,8.5,1.5
WR,Tyler Johnson,17,TB,NYJ,9,5200,3800,3.8,7,9,2.4
WR,Jakobi Meyers,18,NE,MIA,15,6000,5200,5.2,7,10,1.9
WR,Jakobi Meyers,19,NE,BUF,1,5900,5000,5,7,10,2.0
WR,Phillip Dorsett II,16,HOU,LAC,2,4700,3000,3,7,8.5,2.8
WR,DeVonta Smith,17,PHI,WAS,30,6100,6300,6.3,6.9,8.4,1.3
WR,Jarvis Landry,17,CLE,PIT,23,6200,5200,5.2,6.9,8.9,1.7
WR,Breshad Perriman,18,TB,CAR,6,4900,5000,5,6.9,9.4,1.9
WR,Mecole Hardman,19,KC,PIT,12,5700,4100,4.1,6.9,8.9,2.2
WR,Marquise Brown,16,BAL,CIN,16,6400,5800,5.8,6.9,9.4,1.6
WR,Sammy Watkins,4,BAL,DEN,8,5500,5100,5.1,6.9,8.9,1.7
WR,Jakobi Meyers,7,NE,NYJ,3,5700,5300,5.3,6.9,9.4,1.8
WR,Van Jefferson,10,LAR,SF,10,5500,4100,4.1,6.9,8.4,2.0
WR,Lil'Jordan Humphrey,11,NO,PHI,4,4600,3000,3,6.9,7.4,2.5
WR,Kendrick Bourne,11,NE,ATL,25,6000,4700,4.7,6.9,8.9,1.9
WR,Michael Gallup,11,DAL,KC,20,5400,4200,4.2,6.9,9.4,2.2
WR,Brandin Cooks,13,HOU,IND,25,6700,5900,5.9,6.9,8.4,1.4
WR,Mecole Hardman,14,KC,LV,4,5300,3900,3.9,6.9,7.9,2.0
WR,Laviska Shenault Jr.,15,JAX,HOU,22,5400,4300,4.3,6.9,8.9,2.1
WR,Marquise Brown,3,BAL,DET,15,6600,5600,5.6,6.8,8.3,1.5
WR,Terrace Marshall Jr.,3,CAR,HOU,9,5000,3500,3.5,6.8,8.8,2.5
WR,Laviska Shenault Jr.,3,JAX,ARI,24,5400,4400,4.4,6.8,8.8,2.0
WR,Mecole Hardman,6,KC,WAS,28,5500,4200,4.2,6.8,9.8,2.3
WR,Chris Godwin,6,TB,PHI,7,7300,6200,6.2,6.8,9.3,1.5
WR,Zach Pascal,8,IND,TEN,32,5300,4400,4.4,6.8,9.3,2.1
WR,Mike Williams,9,LAC,PHI,4,7300,7100,7.1,6.8,7.8,1.1
WR,Tre'Quan Smith,9,NO,ATL,13,5700,4400,4.4,6.8,8.3,1.9
WR,Kenny Golladay,15,NYG,DAL,28,5400,5300,5.3,6.8,8.3,1.6
WR,Donovan Peoples-Jones,15,CLE,LV,5,5900,11400,11.4,6.8,8.8,0.8
WR,Cam Sims,17,WAS,PHI,2,5000,3500,3.5,6.8,8.8,2.5
WR,Elijah Moore,2,NYJ,NE,6,5000,3500,3.5,6.7,8.7,2.5
WR,DeVante Parker,2,MIA,BUF,10,5800,5500,5.5,6.7,9.2,1.7
WR,Jody Fortson,4,KC,PHI,2,4500,2500,2.5,6.7,7.2,2.9
WR,Cameron Batson,4,TEN,NYJ,4,4900,3000,3,6.7,7.2,2.4
WR,Marcus Johnson,5,TEN,JAX,19,4500,3000,3,6.7,8.2,2.7
WR,Kalif Raymond,6,DET,CIN,16,5100,5000,5,6.7,9.7,1.9
WR,Freddie Swain,7,SEA,NO,21,5000,3200,3.2,6.7,8.7,2.7
WR,A.J. Brown,9,TEN,LAR,8,7700,7500,7.5,6.7,9.2,1.2
WR,Devin Duvernay,10,BAL,MIA,29,5200,3400,3.4,6.7,8.7,2.6
WR,Marquise Brown,10,BAL,MIA,29,8000,6700,6.7,6.7,9.7,1.4
WR,Ashton Dulin,13,IND,HOU,21,5000,3000,3,6.7,7.2,2.4
WR,Isaiah Ford,13,MIA,NYG,15,4700,3000,3,6.7,7.2,2.4
WR,Josh Reynolds,14,DET,DEN,8,5300,4100,4.1,6.7,8.2,2.0
WR,Damiere Byrd,15,CHI,MIN,32,5000,3300,3.3,6.7,10.2,3.1
WR,Corey Davis,3,NYJ,DEN,12,5900,5000,5,6.6,9.1,1.8
WR,Henry Ruggs III,5,LV,CHI,29,5900,5600,5.6,6.6,8.1,1.4
WR,Terry McLaurin,5,WAS,NO,21,7400,7400,7.4,6.6,8.6,1.2
WR,Christian Kirk,8,ARI,GB,12,6400,5100,5.1,6.6,8.6,1.7
WR,DeAndre Carter,12,WAS,SEA,9,5600,3500,3.5,6.6,8.6,2.5
WR,Marquise Brown,14,BAL,CLE,11,7000,6300,6.3,6.6,9.1,1.4
WR,Isaiah Ford,15,MIA,NYJ,10,4700,3000,3,6.6,8.1,2.7
WR,CeeDee Lamb,17,DAL,ARI,27,7200,7100,7.1,6.6,8.1,1.1
WR,DeVante Parker,17,MIA,TEN,31,5900,5200,5.2,6.6,8.6,1.7
WR,Marquez Callaway,16,NO,MIA,25,5600,4700,4.7,6.6,8.6,1.8
WR,Russell Gage,17,ATL,BUF,1,6100,5600,5.6,6.5,8,1.4
WR,Corey Davis,5,NYJ,ATL,24,6200,5600,5.6,6.5,8.5,1.5
WR,Devin Duvernay,5,BAL,IND,24,4900,3600,3.6,6.5,8.5,2.4
WR,Randall Cobb,9,GB,KC,16,5600,4500,4.5,6.5,8,1.8
WR,Kenny Golladay,12,NYG,PHI,3,5900,5100,5.1,6.5,8,1.6
WR,Brandon Zylstra,14,CAR,ATL,25,4800,3000,3,6.5,8.5,2.8
WR,Jamison Crowder,15,NYJ,MIA,27,5700,5000,5,6.5,9,1.8
WR,Sammy Watkins,2,BAL,KC,11,5300,5700,5.7,6.4,8.4,1.5
WR,Ty Montgomery,4,NO,NYG,11,4600,3000,3,6.4,7.9,2.6
WR,Zach Pascal,4,IND,MIA,19,5100,4500,4.5,6.4,8.4,1.9
WR,Jamison Crowder,5,NYJ,ATL,24,6000,4900,4.9,6.4,8.4,1.7
WR,Nico Collins,6,HOU,IND,30,4600,3000,3,6.4,8.4,2.8
WR,Danny Amendola,9,HOU,MIA,31,4800,3200,3.2,6.4,7.9,2.5
WR,Equanimeous St. Brown,11,GB,MIN,26,4700,3000,3,6.4,7.4,2.5
WR,Antoine Wesley,11,ARI,SEA,9,4600,3000,3,6.4,8.4,2.8
WR,Chase Claypool,13,PIT,BAL,20,6500,6000,6,6.4,7.4,1.2
WR,Mike Williams,15,LAC,KC,10,7000,6200,6.2,6.4,7.9,1.3
WR,DeSean Jackson,16,LV,DEN,8,5100,3700,3.7,6.4,8.4,2.3
WR,Michael Gallup,16,DAL,WAS,30,5700,5200,5.2,6.3,7.3,1.4
WR,Dyami Brown,16,WAS,DAL,25,4700,3000,3,6.3,7.3,2.4
WR,Laviska Shenault Jr.,5,JAX,TEN,32,5800,4800,4.8,6.3,6.8,1.4
WR,Quez Watkins,5,PHI,CAR,8,4900,3600,3.6,6.3,7.8,2.2
WR,Zach Pascal,5,IND,BAL,8,5400,4300,4.3,6.3,7.8,1.8
WR,DJ Moore,5,CAR,PHI,16,7900,7500,7.5,6.3,8.8,1.2
WR,Jamison Crowder,9,NYJ,IND,25,6000,5000,5,6.3,8.8,1.8
WR,Sammy Watkins,11,BAL,CHI,30,5300,4000,4,6.3,7.8,2.0
WR,Marvin Jones Jr.,12,JAX,ATL,21,5900,5300,5.3,6.3,8.3,1.6
WR,DK Metcalf,14,SEA,HOU,21,7300,6500,6.5,6.3,8.3,1.3
WR,Olamide Zaccheaus,15,ATL,SF,20,5000,3500,3.5,6.3,7.3,2.1
WR,Julio Jones,3,TEN,IND,30,6700,6500,6.5,6.2,7.7,1.2
WR,DeVante Parker,3,MIA,LV,19,5700,5400,5.4,6.2,8.2,1.5
WR,Van Jefferson,3,LAR,TB,28,4900,3400,3.4,6.2,8.2,2.4
WR,Courtland Sutton,3,DEN,NYJ,4,6900,6000,6,6.2,8.7,1.5
WR,Courtland Sutton,4,DEN,BAL,17,6300,5700,5.7,6.2,7.7,1.4
WR,Cedrick Wilson,6,DAL,NE,8,5200,3900,3.9,6.2,8.2,2.1
WR,Kendall Hinton,6,DEN,LV,3,6000,3100,3.1,6.2,8.7,2.8
WR,Jarvis Landry,7,CLE,DEN,17,6000,4900,4.9,6.2,8.7,1.8
WR,Lil'Jordan Humphrey,12,NO,BUF,1,4700,3000,3,6.2,7.7,2.6
WR,Damiere Byrd,12,CHI,DET,14,4800,3000,3,6.2,8.2,2.7
WR,Ray-Ray McCloud,14,PIT,MIN,32,4800,3200,3.2,6.2,9.2,2.9
WR,N'Keal Harry,15,NE,IND,15,4700,3000,3,6.2,7.2,2.4
WR,Ben Skowronek,15,LAR,SEA,6,4800,3000,3,6.2,8.2,2.7
WR,Jaylen Waddle,17,MIA,TEN,31,7000,6700,6.7,6.2,7.7,1.1
WR,Olamide Zaccheaus,18,ATL,NO,14,5000,3600,3.6,6.2,7.7,2.1
WR,Chase Claypool,16,PIT,KC,12,5900,5100,5.1,6.1,8.1,1.6
WR,Adam Thielen,4,MIN,CLE,6,7500,6800,6.8,6.1,7.6,1.1
WR,Byron Pringle,5,KC,BUF,1,5100,3000,3,6.1,8.1,2.7
WR,Amon-Ra St. Brown,8,DET,PHI,5,5100,3900,3.9,6.1,7.6,1.9
WR,DJ Moore,9,CAR,NE,21,7100,6400,6.4,6.1,7.6,1.2
WR,Emmanuel Sanders,10,BUF,NYJ,8,6300,5700,5.7,6.1,7.1,1.2
WR,Olamide Zaccheaus,13,ATL,TB,14,5200,3800,3.8,6.1,7.6,2.0
WR,Jauan Jennings,14,SF,CIN,16,4900,3300,3.3,6.1,7.6,2.3
WR,Terry McLaurin,15,WAS,PHI,5,7300,6500,6.5,6.1,7.1,1.1
WR,Tyler Johnson,15,TB,NO,25,4800,3000,3,6.1,8.1,2.7
WR,Devin Duvernay,2,BAL,KC,11,5100,3200,3.2,6,6,1.9
WR,Jamal Agnew,2,JAX,DEN,23,4500,3000,3,6,6,2.0
WR,Marvin Jones Jr.,8,JAX,SEA,13,6400,5900,5.9,6,8.5,1.4
WR,James Washington,9,PIT,CHI,31,4800,3400,3.4,6,6.5,1.9
WR,Andre Roberts,17,LAC,DEN,8,4500,3000,3,6,6,2.0
WR,Chris Moore,16,HOU,LAC,2,4600,3000,3,6,8,2.7
WR,Brandon Powell,16,LAR,MIN,32,4500,3000,3,6,6,2.0
WR,Tee Higgins,6,CIN,DET,10,6400,5300,5.3,5.9,7.4,1.4
WR,Tyler Boyd,7,CIN,BAL,6,5800,4700,4.7,5.9,7.9,1.7
WR,Jerry Jeudy,8,DEN,WAS,31,6000,4900,4.9,5.9,7.9,1.6
WR,Ja'Marr Chase,9,CIN,CLE,20,7900,7600,7.6,5.9,9.9,1.3
WR,Jakobi Meyers,11,NE,ATL,25,5900,4800,4.8,5.9,7.9,1.6
WR,Mike Williams,12,LAC,DEN,17,6600,5700,5.7,5.9,7.9,1.4
WR,Emmanuel Sanders,2,BUF,MIA,5,5100,4000,4,5.8,6.8,1.7
WR,A.J. Brown,2,TEN,SEA,15,7100,6900,6.9,5.8,7.3,1.1
WR,Jakobi Meyers,2,NE,NYJ,14,5500,5100,5.1,5.8,7.8,1.5
WR,Jaylen Waddle,2,MIA,BUF,10,5500,4500,4.5,5.8,9.8,2.2
WR,Chase Claypool,9,PIT,CHI,31,6300,6200,6.2,5.8,7.3,1.2
WR,Laviska Shenault Jr.,12,JAX,ATL,21,5600,4400,4.4,5.8,8.3,1.9
WR,Adam Humphries,13,WAS,LV,6,4800,3300,3.3,5.8,7.8,2.4
WR,Mecole Hardman,17,KC,CIN,16,5400,4000,4,5.8,6.3,1.6
WR,Scotty Miller,20,TB,LAR,17,4900,3300,3.3,5.8,7.8,2.4
WR,Quez Watkins,16,PHI,NYG,19,5300,3800,3.8,5.8,7.3,1.9
WR,Ray-Ray McCloud,18,PIT,BAL,31,4900,3800,3.8,5.7,7.7,2.0
WR,Rondale Moore,19,ARI,LAR,17,5000,3700,3.7,5.7,8.2,2.2
WR,Tyler Johnson,5,TB,MIA,12,4700,3300,3.3,5.7,7.2,2.2
WR,Noah Brown,6,DAL,NE,8,4500,3000,3,5.7,6.7,2.2
WR,Michael Gallup,10,DAL,ATL,20,5500,4000,4,5.7,7.2,1.8
WR,Devin Duvernay,11,BAL,CHI,30,5100,3800,3.8,5.7,7.7,2.0
WR,Chris Conley,11,HOU,TEN,32,5000,3400,3.4,5.7,7.7,2.3
WR,Gabriel Davis,12,BUF,NO,26,4800,3600,3.6,5.7,6.7,1.9
WR,Braxton Berrios,12,NYJ,HOU,22,4800,3000,3,5.7,6.7,2.2
WR,Cole Beasley,2,BUF,MIA,5,5400,4600,4.6,5.6,7.6,1.7
WR,Quez Watkins,3,PHI,DAL,29,5000,3800,3.8,5.6,6.6,1.7
WR,Van Jefferson,9,LAR,TEN,32,5500,4000,4,5.6,7.1,1.8
WR,Ja'Marcus Bradley,11,CLE,DET,17,4700,3000,3,5.6,6.6,2.2
WR,Cedrick Wilson,11,DAL,KC,20,4900,3200,3.2,5.6,7.6,2.4
WR,Marvin Jones Jr.,17,JAX,NE,5,5700,4400,4.4,5.6,6.6,1.5
WR,DeVonta Smith,18,PHI,DAL,26,6000,6100,6.1,5.6,7.1,1.2
WR,Bryan Edwards,19,LV,CIN,15,5100,3300,3.3,5.6,7.1,2.2
WR,Gabriel Davis,17,BUF,ATL,28,5300,5000,5,5.5,7,1.4
WR,Allen Robinson II,17,CHI,NYG,19,5500,3800,3.8,5.5,7.5,2.0
WR,Ray-Ray McCloud,17,PIT,CLE,12,4900,3600,3.6,5.5,7.5,2.1
WR,CeeDee Lamb,18,DAL,PHI,2,7400,7000,7,5.5,6.5,0.9
WR,Adam Thielen,16,MIN,LAR,9,7200,6900,6.9,5.5,7,1.0
WR,Terry McLaurin,16,WAS,DAL,25,7000,6500,6.5,5.5,7,1.1
WR,Keenan Allen,16,LAC,HOU,20,7700,7700,7.7,5.5,7.5,1.0
WR,Bryan Edwards,2,LV,PIT,18,4900,3700,3.7,5.5,7,1.9
WR,William Fuller V,3,MIA,LV,19,5500,4700,4.7,5.5,7,1.5
WR,Mohamed Sanu Sr.,4,SF,SEA,20,4700,3100,3.1,5.5,7.5,2.4
WR,Marquise Brown,6,BAL,LAC,4,7000,5900,5.9,5.5,7.5,1.3
WR,Marquise Goodwin,9,CHI,PIT,24,4900,3100,3.1,5.5,6,1.9
WR,Jeff Smith,9,NYJ,IND,25,4600,3000,3,5.5,7,2.3
WR,Julio Jones,9,TEN,LAR,8,6500,5500,5.5,5.5,7.5,1.4
WR,Hunter Renfrow,11,LV,CIN,12,6100,5800,5.8,5.5,7.5,1.3
WR,Robby Anderson,11,CAR,WAS,31,5600,4600,4.6,5.5,8,1.7
WR,Laviska Shenault Jr.,11,JAX,SF,10,5400,4100,4.1,5.5,9,2.2
WR,DeVonta Smith,15,PHI,WAS,30,6000,5800,5.8,5.5,7,1.2
WR,Cole Beasley,15,BUF,CAR,5,5800,4900,4.9,5.5,7.5,1.5
WR,Cedrick Wilson,5,DAL,NYG,10,5200,4100,4.1,5.48,5.98,1.5
WR,Tim Patrick,4,DEN,BAL,17,6100,4900,4.9,5.4,6.9,1.4
WR,Jamison Crowder,7,NYJ,NE,15,5800,4900,4.9,5.4,7.4,1.5
WR,Ja'Marr Chase,12,CIN,PIT,22,7700,7300,7.3,5.4,6.9,0.9
WR,Laviska Shenault Jr.,14,JAX,TEN,31,5300,4300,4.3,5.4,7.4,1.7
WR,Adam Humphries,14,WAS,DAL,30,5000,3500,3.5,5.4,7.4,2.1
WR,Nelson Agholor,15,NE,IND,15,5500,3500,3.5,5.4,7.4,2.1
WR,Gabriel Davis,18,BUF,NYJ,13,5200,4900,4.9,5.4,6.9,1.4
WR,Van Jefferson,20,LAR,TB,11,5500,4200,4.2,5.4,6.4,1.5
WR,Kadarius Toney,8,NYG,KC,23,5500,4900,4.9,5.36,7.36,1.5
WR,Kenny Golladay,2,NYG,WAS,25,5900,5700,5.7,5.3,6.8,1.2
WR,Robby Anderson,2,CAR,NO,4,6300,5800,5.8,5.3,6.8,1.2
WR,Russell Gage,2,ATL,TB,31,5200,4800,4.8,5.3,7.8,1.6
WR,Robert Woods,3,LAR,TB,28,6100,5700,5.7,5.3,6.8,1.2
WR,Quintez Cephus,5,DET,MIN,22,5100,4300,4.3,5.3,6.8,1.6
WR,Kendrick Bourne,5,NE,HOU,7,5200,4000,4,5.3,6.8,1.7
WR,A.J. Brown,5,TEN,JAX,19,6900,6500,6.5,5.3,6.8,1.0
WR,Jamal Agnew,9,JAX,BUF,1,5200,4300,4.3,5.3,6.8,1.6
WR,Tyreek Hill,9,KC,GB,7,8500,7900,7.9,5.3,7.3,0.9
WR,Mike Williams,10,LAC,MIN,27,6900,6600,6.6,5.3,7.3,1.1
WR,Quez Watkins,10,PHI,DEN,12,5300,3600,3.6,5.3,7.3,2.0
WR,Julio Jones,14,TEN,JAX,26,6500,5400,5.4,5.3,7.3,1.4
WR,Phillip Dorsett II,15,HOU,JAX,19,4500,3000,3,5.3,6.3,2.1
WR,Christian Kirk,18,ARI,SEA,9,6200,6000,6,5.3,6.3,1.1
WR,Donovan Peoples-Jones,18,CLE,CIN,17,5500,4300,4.3,5.3,6.8,1.6
WR,Courtland Sutton,16,DEN,LV,5,5400,4200,4.2,5.3,7.3,1.7
WR,Cole Beasley,17,BUF,ATL,28,5600,4900,4.9,5.2,6.2,1.3
WR,Allen Robinson II,18,CHI,MIN,32,5500,4000,4,5.2,6.2,1.6
WR,Zay Jones,18,LV,LAC,3,5400,4500,4.5,5.2,7.7,1.7
WR,Rondale Moore,4,ARI,LAR,13,5300,4600,4.6,5.2,6.7,1.5
WR,Allen Robinson II,5,CHI,LV,5,6100,5500,5.5,5.2,7.2,1.3
WR,Kenny Golladay,13,NYG,MIA,30,5800,5000,5,5.2,6.7,1.3
WR,Darnell Mooney,13,CHI,ARI,11,6700,5600,5.6,5.2,7.7,1.4
WR,Nick Westbrook-Ikhine,15,TEN,PIT,24,5300,4200,4.2,5.2,7.2,1.7
WR,Mohamed Sanu Sr.,3,SF,GB,11,4900,3200,3.2,5.1,6.6,2.1
WR,Tyler Lockett,3,SEA,MIN,31,8000,7400,7.4,5.1,7.1,1.0
WR,Mecole Hardman,4,KC,PHI,2,5500,4400,4.4,5.1,6.1,1.4
WR,K.J. Osborn,4,MIN,CLE,6,5300,3700,3.7,5.1,6.6,1.8
WR,Noah Brown,5,DAL,NYG,10,4500,3000,3,5.1,6.6,2.2
WR,Kadarius Toney,6,NYG,LAR,17,6000,5600,5.6,5.1,6.6,1.2
WR,Hunter Renfrow,6,LV,DEN,15,5700,4900,4.9,5.1,6.6,1.3
WR,Adam Humphries,7,WAS,GB,8,5000,3100,3.1,5.1,6.6,2.1
WR,Henry Ruggs III,7,LV,PHI,7,5700,5500,5.5,5.1,7.1,1.3
WR,DK Metcalf,11,SEA,ARI,13,7500,6800,6.8,5.1,7.1,1.0
WR,Tre'Quan Smith,12,NO,BUF,1,5900,4400,4.4,5.1,7.1,1.6
WR,Rashod Bateman,12,BAL,CLE,16,5500,4800,4.8,5.1,7.1,1.5
WR,Amari Cooper,13,DAL,NO,26,7000,6000,6,5.1,6.1,1.0
WR,Damiere Byrd,13,CHI,ARI,11,5000,3100,3.1,5.1,6.6,2.1
WR,D.J. Montgomery,14,NYJ,NO,28,1,3000,3,5.1,6.6,2.2
WR,James Washington,15,PIT,TEN,31,5100,3500,3.5,5.1,6.6,1.9
WR,Breshad Perriman,17,TB,NYJ,9,4700,4300,4.3,5.1,6.1,1.4
WR,A.J. Brown,17,TEN,MIA,25,7500,7200,7.2,5.1,6.1,0.8
WR,Trent Taylor,18,CIN,CLE,10,4500,3000,3,5.1,6.1,2.0
WR,Cole Beasley,18,BUF,NYJ,13,5500,4800,4.8,5.1,7.1,1.5
WR,JuJu Smith-Schuster,19,PIT,KC,22,4500,3000,3,5.1,7.6,2.5
WR,Byron Pringle,17,KC,CIN,16,5600,4100,4.1,5,6.5,1.6
WR,Adam Thielen,5,MIN,DET,14,7500,6600,6.6,5,6,0.9
WR,Darnell Mooney,5,CHI,LV,5,5600,4700,4.7,5,6.5,1.4
WR,Courtland Sutton,8,DEN,WAS,31,7100,6400,6.4,5,6,0.9
WR,Terry McLaurin,8,WAS,DEN,9,7400,7600,7.6,5,6.5,0.9
WR,Juwann Winfree,8,GB,ARI,20,4500,3000,3,5,7,2.3
WR,Rondale Moore,9,ARI,SF,9,5300,4200,4.2,5,7.5,1.8
WR,Corey Davis,11,NYJ,MIA,27,6400,5000,5,5,6.5,1.3
WR,Ty Montgomery,13,NO,DAL,27,4700,3200,3.2,5,7,2.2
WR,Chester Rogers,15,TEN,PIT,24,4900,3200,3.2,5,7,2.2
WR,Dyami Brown,2,WAS,NYG,10,4800,3100,3.1,4.9,6.4,2.1
WR,Donovan Peoples-Jones,3,CLE,CHI,29,5500,3000,3,4.9,5.9,2.0
WR,Rashod Bateman,6,BAL,LAC,4,5000,3000,3,4.9,6.9,2.3
WR,Darnell Mooney,7,CHI,TB,25,5900,4600,4.6,4.9,5.9,1.3
WR,Jaylen Waddle,8,MIA,BUF,1,6400,5600,5.6,4.9,6.9,1.2
WR,Kendrick Bourne,9,NE,CAR,5,5600,4600,4.6,4.9,6.4,1.4
WR,Kalif Raymond,10,DET,PIT,24,5500,4900,4.9,4.9,6.9,1.4
WR,T.Y. Hilton,18,IND,JAX,25,5400,4700,4.7,4.9,5.9,1.3
WR,Deonte Harris,18,NO,ATL,27,5200,3200,3.2,4.8,6.3,2.0
WR,Nick Westbrook-Ikhine,16,TEN,SF,21,5500,4100,4.1,4.8,5.8,1.4
WR,Kadarius Toney,16,NYG,PHI,3,5300,4900,4.9,4.8,6.8,1.4
WR,Ray-Ray McCloud,3,PIT,CIN,20,4500,3000,3,4.8,6.3,2.1
